event_id,match,date,play_id,minute_raw,period,foul_team,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,play_text,phase_counter_settled_other,own_half_y_n,intensity_1_3,recadito_y_n,uncalled_nearby_y_n,notes
760509,ARG-EGY R16,2026-07-07,49730788,5',1,Argentina,Enzo Fernández,Mohamed Salah,Egypt,defensive half,60.3,83.6,Mohamed Salah (Egypt) wins a free kick in the defensive half.,Foul by Enzo Fernández (Argentina).,,,,,,
760509,ARG-EGY R16,2026-07-07,49730840,7',1,Argentina,Nicolás Tagliafico,,,,77.6,5.2,Foul by Nicolás Tagliafico (Argentina).,Haissem Hassan (Egypt) wins a free kick on the right wing.,,,,,,
760509,ARG-EGY R16,2026-07-07,49730907,11',1,Argentina,Enzo Fernández,Karim Hafez,Egypt,defensive half,57.8,30.1,Karim Hafez (Egypt) wins a free kick in the defensive half.,Foul by Enzo Fernández (Argentina).,,,,,,
760509,ARG-EGY R16,2026-07-07,49730954,13',1,Argentina,Rodrigo De Paul,Emam Ashour,Egypt,attacking half,39.2,48.7,Emam Ashour (Egypt) wins a free kick in the attacking half.,Foul by Rodrigo De Paul (Argentina).,,,,,,
760509,ARG-EGY R16,2026-07-07,49731025,18',1,Egypt,Yasser Ibrahim,,,,60.2,14.2,Foul by Yasser Ibrahim (Egypt).,Julián Alvarez (Argentina) wins a free kick in the defensive half.,,,,,,
760509,ARG-EGY R16,2026-07-07,49731036,19',1,Egypt,,,,,14.0,30.8,Penalty conceded by Haissem Hassan (Egypt) after a foul in the penalty area.,Penalty Argentina. Nicolás Tagliafico draws a foul in the penalty area.,,,,,,
760509,ARG-EGY R16,2026-07-07,49731044,21',1,Argentina,Cristian Romero,Emam Ashour,Egypt,defensive half,60.4,6.6,Emam Ashour (Egypt) wins a free kick in the defensive half.,Foul by Cristian Romero (Argentina).,,,,,,
760509,ARG-EGY R16,2026-07-07,49731075,23',1,Argentina,Lisandro Martínez,Mohamed Salah,Egypt,defensive half,41.4,22.0,Mohamed Salah (Egypt) wins a free kick in the defensive half.,Foul by Lisandro Martínez (Argentina).,,,,,,
760509,ARG-EGY R16,2026-07-07,49731162,30',1,Egypt,Marwan Attia,,,,32.2,43.4,Foul by Marwan Attia (Egypt).,Alexis Mac Allister (Argentina) wins a free kick in the attacking half.,,,,,,
760509,ARG-EGY R16,2026-07-07,49731195,33',1,Egypt,Mohanad Lasheen,,,,74.8,20.3,Foul by Mohanad Lasheen (Egypt).,Julián Alvarez (Argentina) wins a free kick in the defensive half.,,,,,,
