event_id,match,date,play_id,minute_raw,period,foul_team,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,play_text,phase_counter_settled_other,own_half_y_n,intensity_1_3,recadito_y_n,uncalled_nearby_y_n,notes
760515,ENG-ARG SF,2026-07-15,49796217,2',1,Argentina,Leandro Paredes,,,,58.0,21.0,Foul by Leandro Paredes (Argentina).,Foul by Leandro Paredes (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796242,3',1,Argentina,Enzo Fernández,,,,45.4,66.2,Foul by Enzo Fernández (Argentina).,Foul by Enzo Fernández (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796298,6',1,Argentina,Giuliano Simeone,,,,65.6,9.2,Foul by Giuliano Simeone (Argentina).,Elliot Anderson (England) wins a free kick in the defensive half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49796310,8',1,England,,Julián Alvarez,Argentina,defensive half,30.2,53.7,Julián Alvarez (Argentina) wins a free kick in the defensive half.,Dangerous play by Marc Guéhi (England).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796323,9',1,England,Reece James,Nicolás Tagliafico,Argentina,defensive half,69.9,32.0,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.,Foul by Reece James (England).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796334,9',1,Argentina,Giuliano Simeone,Elliot Anderson,England,defensive half,59.3,35.2,Elliot Anderson (England) wins a free kick in the defensive half.,Foul by Giuliano Simeone (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796343,10',1,England,Elliot Anderson,,,,66.8,52.8,Foul by Elliot Anderson (England).,Enzo Fernández (Argentina) wins a free kick in the defensive half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49796448,16',1,Argentina,Giuliano Simeone,Anthony Gordon,England,defensive half,59.0,4.6,Anthony Gordon (England) wins a free kick in the defensive half.,Foul by Giuliano Simeone (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796537,21',1,England,Morgan Rogers,,,,76.7,44.3,Foul by Morgan Rogers (England).,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49796562,23',1,England,Jude Bellingham,,,,41.8,70.4,Foul by Jude Bellingham (England).,Foul by Jude Bellingham (England).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796564,23',1,England,,Alexis Mac Allister,Argentina,attacking half,60.1,29.7,Alexis Mac Allister (Argentina) wins a free kick in the attacking half.,Alexis Mac Allister (Argentina) wins a free kick in the attacking half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49796570,25',1,Argentina,Giuliano Simeone,Jordan Pickford,England,defensive half,97.0,49.6,Jordan Pickford (England) wins a free kick in the defensive half.,Foul by Giuliano Simeone (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796628,30',1,England,Anthony Gordon,,,,63.6,70.5,Foul by Anthony Gordon (England).,Giuliano Simeone (Argentina) wins a free kick in the defensive half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49796657,32',1,Argentina,Enzo Fernández,Jude Bellingham,England,attacking half,26.4,23.3,Jude Bellingham (England) wins a free kick in the attacking half.,Foul by Enzo Fernández (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796672,34',1,Argentina,Giuliano Simeone,Marc Guéhi,England,defensive half,59.8,20.2,Marc Guéhi (England) wins a free kick in the defensive half.,Foul by Giuliano Simeone (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796694,35',1,Argentina,Nahuel Molina,Jude Bellingham,England,left wing,16.4,14.2,Jude Bellingham (England) wins a free kick on the left wing.,Foul by Nahuel Molina (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796709,37',1,England,Elliot Anderson,,,,36.6,69.4,Foul by Elliot Anderson (England).,Lionel Messi (Argentina) wins a free kick in the attacking half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49796782,42',1,Argentina,Lisandro Martínez,Morgan Rogers,England,defensive half,61.8,52.2,Morgan Rogers (England) wins a free kick in the defensive half.,Foul by Lisandro Martínez (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796805,43',1,Argentina,Enzo Fernández,Elliot Anderson,England,defensive half,61.3,24.2,Elliot Anderson (England) wins a free kick in the defensive half.,Foul by Enzo Fernández (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49796908,45'+3',1,Argentina,,Reece James,England,right wing,44.8,86.7,Reece James (England) wins a free kick on the right wing.,Dangerous play by Leandro Paredes (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49797059,51',2,Argentina,Cristian Romero,Jude Bellingham,England,defensive half,44.2,69.2,Jude Bellingham (England) wins a free kick in the defensive half.,Foul by Cristian Romero (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49797086,53',2,England,Jude Bellingham,,,,51.3,21.6,Foul by Jude Bellingham (England).,Cristian Romero (Argentina) wins a free kick in the attacking half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49797339,67',2,England,Morgan Rogers,,,,61.2,4.8,Foul by Morgan Rogers (England).,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49797368,69',2,Argentina,Cristian Romero,Djed Spence,England,defensive half,95.2,76.8,Djed Spence (England) wins a free kick in the defensive half.,Foul by Cristian Romero (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49797543,81',2,Argentina,Nico González,Harry Kane,England,defensive half,23.4,27.4,Harry Kane (England) wins a free kick in the defensive half.,Foul by Nico González (Argentina).,,,,,,
760515,ENG-ARG SF,2026-07-15,49797746,90'+9',2,England,Jude Bellingham,,,,63.3,68.2,Foul by Jude Bellingham (England).,Lionel Messi (Argentina) wins a free kick in the defensive half.,,,,,,
760515,ENG-ARG SF,2026-07-15,49797778,90'+12',2,England,Dan Burn,,,,90.8,45.1,Foul by Dan Burn (England).,Foul by Dan Burn (England).,,,,,,
