event_id,match,date,play_id,minute_raw,period,foul_team,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,play_text,phase_counter_settled_other,own_half_y_n,intensity_1_3,recadito_y_n,uncalled_nearby_y_n,notes
760517,ESP-ARG Final,2026-07-19,49878814,2',1,Spain,Pedro Porro,Nico González,Argentina,defensive half,65.4,31.2,Nico González (Argentina) wins a free kick in the defensive half.,Foul by Pedro Porro (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49878856,4',1,Argentina,Gonzalo Montiel,Álex Baena,Spain,defensive half,53.3,12.2,Álex Baena (Spain) wins a free kick in the defensive half.,Foul by Gonzalo Montiel (Argentina).,,,,,,
760517,ESP-ARG Final,2026-07-19,49878952,8',1,Spain,Lamine Yamal,Nicolás Tagliafico,Argentina,defensive half,17.4,93.4,Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.,Foul by Lamine Yamal (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49879055,14',1,Argentina,Alexis Mac Allister,,,,56.7,87.8,Foul by Alexis Mac Allister (Argentina).,Dani Olmo (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49879065,16',1,Spain,Álex Baena,Lionel Messi,Argentina,attacking half,35.0,45.8,Lionel Messi (Argentina) wins a free kick in the attacking half.,Foul by Álex Baena (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49879092,18',1,Argentina,Nicolás Tagliafico,,,,58.7,91.1,Foul by Nicolás Tagliafico (Argentina).,Dani Olmo (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49879106,20',1,Spain,Dani Olmo,Enzo Fernández,Argentina,defensive half,87.6,93.1,Enzo Fernández (Argentina) wins a free kick in the defensive half.,Foul by Dani Olmo (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49879176,24',1,Spain,Rodri,Lionel Messi,Argentina,defensive half,61.0,38.2,Lionel Messi (Argentina) wins a free kick in the defensive half.,Foul by Rodri (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49879205,29',1,Argentina,Nicolás Tagliafico,,,,64.3,93.3,Foul by Nicolás Tagliafico (Argentina).,Lamine Yamal (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49879277,33',1,Spain,Rodri,Alexis Mac Allister,Argentina,left wing,66.2,95.2,Alexis Mac Allister (Argentina) wins a free kick on the left wing.,Foul by Rodri (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49879285,34',1,Argentina,Julián Alvarez,,,,25.3,19.4,Foul by Julián Alvarez (Argentina).,Pedro Porro (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49879313,36',1,Argentina,Nicolás Tagliafico,,,,70.2,94.4,Foul by Nicolás Tagliafico (Argentina).,Rodri (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49879353,38',1,Argentina,Julián Alvarez,,,,47.4,86.3,Foul by Julián Alvarez (Argentina).,Rodri (Spain) wins a free kick on the right wing.,,,,,,
760517,ESP-ARG Final,2026-07-19,49879409,41',1,Argentina,Lisandro Martínez,,,,31.0,60.3,Foul by Lisandro Martínez (Argentina).,Mikel Oyarzabal (Spain) wins a free kick in the defensive half.,,,,,,
760517,ESP-ARG Final,2026-07-19,49879526,45'+3',1,Spain,Mikel Oyarzabal,Lionel Messi,Argentina,defensive half,31.2,34.6,Lionel Messi (Argentina) wins a free kick in the defensive half.,Foul by Mikel Oyarzabal (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49879630,50',2,Spain,Álex Baena,Rodrigo De Paul,Argentina,defensive half,76.6,92.5,Rodrigo De Paul (Argentina) wins a free kick in the defensive half.,Foul by Álex Baena (Spain).,,,,,,
760517,ESP-ARG Final,2026-07-19,49879640,51',2,Spain,Álex Baena,Gonzalo Montiel,Argentina,right wing,39.8,93.8,Gonzalo Montiel (Argentina) wins a free kick on the right wing.,Foul by Álex Baena (Spain).,,,,,,
