foul_id,event_id,match,minute_num,minute_raw,foul_player,is_argentina,carded,n_coverage_rows,n_country_families,country_families,n_under_carded_stance,has_multi_country_ge3,panel_incidents
760517_49879055,760517,ESP-ARG Final,14.0,14',Alexis Mac Allister,1,0,17,6,DE|ES|FR|IN|IT|UK,15,1,F01
760517_49879092,760517,ESP-ARG Final,18.0,18',Nicolás Tagliafico,1,0,9,5,ES|FR|IN|IT|UK,8,1,F02
760517_49879205,760517,ESP-ARG Final,29.0,29',Nicolás Tagliafico,1,0,9,5,ES|FR|IN|IT|UK,8,1,F02
760517_49879313,760517,ESP-ARG Final,36.0,36',Nicolás Tagliafico,1,0,9,5,ES|FR|IN|IT|UK,8,1,F02
760517_49879759,760517,ESP-ARG Final,60.0,60',Leandro Paredes,1,0,1,1,UK,1,0,
760517_49879939,760517,ESP-ARG Final,76.0,76',Leandro Paredes,1,0,1,1,UK,1,0,
760517_49879650,760517,ESP-ARG Final,52.0,52',Leandro Paredes,1,1,2,1,UK,0,0,
760517_49880237,760517,ESP-ARG Final,90.06,90'+6',Leandro Paredes,1,1,1,1,UK,0,0,
760517_49880588,760517,ESP-ARG Final,111.0,111',Alexis Mac Allister,1,1,1,1,UK,0,0,
760433_49535632,760433,ARG-ALG GS,1.0,1',Enzo Fernández,1,0,0,0,,0,0,
760433_49535793,760433,ARG-ALG GS,10.0,10',Lautaro Martínez,1,0,0,0,,0,0,
760433_49535801,760433,ARG-ALG GS,11.0,11',Gonzalo Montiel,1,0,0,0,,0,0,
760433_49536125,760433,ARG-ALG GS,31.0,31',Lionel Messi,1,0,0,0,,0,0,
760433_49536204,760433,ARG-ALG GS,37.0,37',Facundo Medina,1,0,0,0,,0,0,
760433_49536289,760433,ARG-ALG GS,43.0,43',Alexis Mac Allister,1,0,0,0,,0,0,
760433_49536330,760433,ARG-ALG GS,45.0,45',Lautaro Martínez,1,0,0,0,,0,0,
760433_49536536,760433,ARG-ALG GS,51.0,51',Cristian Romero,1,0,0,0,,0,0,
760433_49536592,760433,ARG-ALG GS,55.0,55',Cristian Romero,1,0,0,0,,0,0,
760433_49536985,760433,ARG-ALG GS,83.0,83',Facundo Medina,1,0,0,0,,0,0,
760433_49536994,760433,ARG-ALG GS,83.0,83',Julián Alvarez,1,0,0,0,,0,0,
760433_49537027,760433,ARG-ALG GS,85.0,85',Alexis Mac Allister,1,0,0,0,,0,0,
760433_49537245,760433,ARG-ALG GS,90.05,90'+5',Nico Paz,1,0,0,0,,0,0,
760456_49583016,760456,ARG-AUT GS,11.0,11',Lisandro Martínez,1,0,0,0,,0,0,
760456_49583051,760456,ARG-AUT GS,14.0,14',Alexis Mac Allister,1,0,0,0,,0,0,
760456_49583185,760456,ARG-AUT GS,21.0,21',Lautaro Martínez,1,0,0,0,,0,0,
760456_49583319,760456,ARG-AUT GS,32.0,32',Facundo Medina,1,0,0,0,,0,0,
760456_49583392,760456,ARG-AUT GS,35.0,35',Nahuel Molina,1,0,0,0,,0,0,
760456_49583488,760456,ARG-AUT GS,44.0,44',Alexis Mac Allister,1,0,0,0,,0,0,
760456_49583505,760456,ARG-AUT GS,45.0,45',Enzo Fernández,1,0,0,0,,0,0,
760456_49583538,760456,ARG-AUT GS,45.02,45'+2',Lautaro Martínez,1,0,0,0,,0,0,
760456_49583806,760456,ARG-AUT GS,53.0,53',Enzo Fernández,1,0,0,0,,0,0,
760456_49583823,760456,ARG-AUT GS,54.0,54',Cristian Romero,1,0,0,0,,0,0,
760483_49645164,760483,JOR-ARG GS,1.0,1',Giuliano Simeone,1,0,0,0,,0,0,
760483_49646087,760483,JOR-ARG GS,32.0,32',Giovani Lo Celso,1,0,0,0,,0,0,
760483_49646100,760483,JOR-ARG GS,33.0,33',Exequiel Palacios,1,0,0,0,,0,0,
760483_49646135,760483,JOR-ARG GS,34.0,34',Nico Paz,1,0,0,0,,0,0,
760483_49646454,760483,JOR-ARG GS,42.0,42',Lautaro Martínez,1,0,0,0,,0,0,
760483_49646875,760483,JOR-ARG GS,49.0,49',Nicolás Tagliafico,1,0,0,0,,0,0,
760483_49647666,760483,JOR-ARG GS,75.0,75',Nicolás Otamendi,1,0,0,0,,0,0,
760500_49687202,760500,ARG-CPV R32,4.0,4',Rodrigo De Paul,1,0,0,0,,0,0,
760500_49687303,760500,ARG-CPV R32,10.0,10',Cristian Romero,1,0,0,0,,0,0,
760500_49687602,760500,ARG-CPV R32,32.0,32',Nahuel Molina,1,0,0,0,,0,0,
760500_49687791,760500,ARG-CPV R32,43.0,43',Lautaro Martínez,1,0,0,0,,0,0,
760500_49687872,760500,ARG-CPV R32,45.02,45'+2',Lionel Messi,1,0,0,0,,0,0,
760500_49687979,760500,ARG-CPV R32,50.0,50',Lautaro Martínez,1,0,0,0,,0,0,
760500_49688032,760500,ARG-CPV R32,53.0,53',Thiago Almada,1,0,0,0,,0,0,
760500_49688127,760500,ARG-CPV R32,58.0,58',Cristian Romero,1,0,0,0,,0,0,
760500_49688345,760500,ARG-CPV R32,77.0,77',Alexis Mac Allister,1,0,0,0,,0,0,
760500_49688599,760500,ARG-CPV R32,90.05,90'+5',Julián Alvarez,1,0,0,0,,0,0,
760500_49688604,760500,ARG-CPV R32,90.06,90'+6',Nico González,1,0,0,0,,0,0,
760509_49730788,760509,ARG-EGY R16,5.0,5',Enzo Fernández,1,0,0,0,,0,0,
760509_49730840,760509,ARG-EGY R16,7.0,7',Nicolás Tagliafico,1,0,0,0,,0,0,
760509_49730907,760509,ARG-EGY R16,11.0,11',Enzo Fernández,1,0,0,0,,0,0,
760509_49730954,760509,ARG-EGY R16,13.0,13',Rodrigo De Paul,1,0,0,0,,0,0,
760509_49731044,760509,ARG-EGY R16,21.0,21',Cristian Romero,1,0,0,0,,0,0,
760509_49731075,760509,ARG-EGY R16,23.0,23',Lisandro Martínez,1,0,0,0,,0,0,
760509_49731396,760509,ARG-EGY R16,45.0,45',Julián Alvarez,1,0,0,0,,0,0,
760509_49731436,760509,ARG-EGY R16,45.02,45'+2',Julián Alvarez,1,0,0,0,,0,0,
760509_49731511,760509,ARG-EGY R16,46.0,46',Lisandro Martínez,1,0,0,0,,0,0,
760509_49731548,760509,ARG-EGY R16,48.0,48',Julián Alvarez,1,0,0,0,,0,0,
760509_49731551,760509,ARG-EGY R16,48.0,48',Nicolás Tagliafico,1,0,0,0,,0,0,
760509_49732163,760509,ARG-EGY R16,87.0,87',Nico González,1,0,0,0,,0,0,
760509_49732287,760509,ARG-EGY R16,90.07,90'+7',Nico González,1,0,0,0,,0,0,
760513_49769543,760513,ARG-SUI QF,3.0,3',Julián Alvarez,1,0,0,0,,0,0,
760513_49769859,760513,ARG-SUI QF,13.0,13',Cristian Romero,1,0,0,0,,0,0,
760513_49770527,760513,ARG-SUI QF,35.0,35',Julián Alvarez,1,0,0,0,,0,0,
760513_49770564,760513,ARG-SUI QF,36.0,36',Leandro Paredes,1,0,0,0,,0,0,
760513_49770665,760513,ARG-SUI QF,40.0,40',Lisandro Martínez,1,0,0,0,,0,0,
760513_49770693,760513,ARG-SUI QF,42.0,42',Leandro Paredes,1,0,0,0,,0,0,
760513_49770723,760513,ARG-SUI QF,45.0,45',Lisandro Martínez,1,0,0,0,,0,0,
760513_49771073,760513,ARG-SUI QF,48.0,48',Nicolás Tagliafico,1,0,0,0,,0,0,
760513_49771856,760513,ARG-SUI QF,79.0,79',Julián Alvarez,1,0,0,0,,0,0,
