coverage_id,incident_id,foul_id,event_id,match,minute_label,player,victim,country_family,outlet,stance,claim,quote,source_file,url,coverage_type
F01_UK_BBC McNulty,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,UK,BBC McNulty,under_carded,under_carded,late on Olmo; Spain complained about leniency,data/raw/articles/quotes_final.md,https://www.bbc.com/sport/football/live/cgk4ymn3n72t,multi_country_panel
F01_UK_The Sun / Micah Richards,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,UK,The Sun / Micah Richards,under_carded,under_carded,should have been a yellow; sets dangerous precedent,data/raw/articles/multicountry/UK_sun_richards.txt,https://www.thesun.co.uk/sport/39808297/micah-richards-alexis-mac-allister-olmo-world-cup/,multi_country_panel
F01_UK_Liverpool.com / Graham Scott,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,UK,Liverpool.com / Graham Scott,under_carded,under_carded,clear yellow card for reckless play,data/raw/articles/multicountry/UK_liverpoolcom.txt,https://www.liverpool.com/liverpool-fc-news/mac-allister-argentina-world-cup-34317281,multi_country_panel
F01_UK_Daily Mail Hope,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,UK,Daily Mail Hope,under_carded,under_carded,lucky to escape yellow for lunge on Olmo,data/raw/articles/quotes_multicountry_F01.md,https://www.dailymail.com/sport/football/article-15988511/Spain-1-Argentina-0-PLAYER-RATINGS.html,multi_country_panel
F01_UK_US_ESPN Judd ratings,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,UK_US,ESPN Judd ratings,under_carded,under_carded,lucky without yellow after late challenge on Olmo,data/raw/articles/quotes_multicountry_F01.md,https://www.espn.co.uk/football/story/_/id/49403553/player-ratings-lionel-messi-3-10-spain-beat-argentina-world-cup-final,multi_country_panel
F01_ES_AS,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,ES,AS,under_carded,under_carded,Mereció la amarilla; ref looked away,data/raw/articles/quotes_final.md,https://as.com/futbol/seleccion/como-la-primera-vez-f202607-n/,multi_country_panel
F01_ES_Marca,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,ES,Marca,under_carded,under_carded,prefirió no amonestar,data/raw/articles/quotes_final.md,https://www.marca.com/futbol/mundial/cronica/2026/07/20/reyes-todos-tiempos.html,multi_country_panel
F01_FR_RMC Sport BFMTV,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,FR,RMC Sport BFMTV,under_carded_named,under_carded,fauché Olmo (15e); hardening narrative,data/raw/articles/multicountry/FR_rmc_bfm.txt,https://rmcsport.bfmtv.com/football/coupe-du-monde/espagne-argentine-olmo-fauche-par-mac-allister-yamal-chahute-par-tagliafico-comment-l-albiceleste-a-durci-le-jeu-des-le-debut-de-la-finale_AV-202607190380.html,multi_country_panel
F01_DE_Die Welt,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,DE,Die Welt,under_carded,under_carded,14. Minute gestrecktes Bein; keine Gelbe Karte,data/raw/articles/multicountry/DE_welt.txt,https://www.welt.de/sport/fussball/wm/video6a5d5111e0a821422950ff9d/wm-finale-argentiniens-mac-allister-raeumt-spaniens-olmo-boese-ab-aber-kassiert-keine-gelbe-karte-highlights.html,multi_country_panel
F01_IN_Times Now,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,IN,Times Now,under_carded,under_carded,15th minute lunging tackle; no yellow verbal warning,data/raw/articles/multicountry/IN_timesnow.txt,https://www.timesnownews.com/sports/football/no-yellow-for-alexis-mac-allister-fifa-world-cup-2026-final-refereeing-sparks-fresh-argentina-bias-debate-article-155134994,multi_country_panel
F01_AR_Clarín,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,AR,Clarín,silent_or_oppose,under_carded,Does not call for yellow on this tackle; other ref critiques,data/raw/articles/clarin_vincic.txt,https://www.clarin.com/deportes/slatko-vincic-arbitro-final-mundial-espana-gano-argentina-errores-graves-partido-quedo-demasiado-grande_0_TKPKauUGZF.html,multi_country_panel
F01_AR_Olé,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,AR,Olé,oppose,under_carded,Petition / reverse bias narrative vs Vincic,data/raw/articles/ole_replay.txt,https://www.ole.com.ar/mundial/mundial-2026/miles-argentinos-firman-campana-pedir-repita-final-argentina-mundial-espana_0_HHh10GEvw3.html,multi_country_panel
F01_IT_Corriere della Sera,F01,760517_49879055,760517,ESP-ARG Final,14-15,Alexis Mac Allister,Dani Olmo,IT,Corriere della Sera,under_carded,under_carded,Mac Allister su Olmo merita il giallo ma Vincic lascia fare,data/raw/articles/multicountry/IT_corriere_final.txt,https://www.corriere.it/sport/calcio/mondiali/diretta-live/26_luglio_19/mondiali-2026-finale-diretta.shtml,multi_country_panel
F02_UK_Athletic / Graham Scott,F02,PATTERN_TAGLIAFICO_1H,760517,ESP-ARG Final,29 / 1H pattern,Nicolás Tagliafico,Lamine Yamal,UK,Athletic / Graham Scott,under_carded,under_carded,could easily have received yellow; studs on calf,data/raw/articles/athletic_eng.txt,,multi_country_panel
F02_IN_Times of India,F02,PATTERN_TAGLIAFICO_1H,760517,ESP-ARG Final,29,Nicolás Tagliafico,Lamine Yamal,IN,Times of India,under_carded,under_carded,29th minute no card; favouritism debate; weight on leg,data/raw/articles/multicountry/IN_toi_tagliafico.txt,,multi_country_panel
F02_ES_Marca,F02,PATTERN_TAGLIAFICO_1H,760517,ESP-ARG Final,1H pattern,Nicolás Tagliafico,Lamine Yamal,ES,Marca,under_carded,under_carded,glue on Yamal; ref preferred not to book early,data/raw/articles/quotes_final.md,,multi_country_panel
F02_FR_RMC Sport BFMTV,F02,PATTERN_TAGLIAFICO_1H,760517,ESP-ARG Final,37 / 1H pattern,Nicolás Tagliafico,Lamine Yamal,FR,RMC Sport BFMTV,under_carded_named,under_carded,Yamal chahuté; plaqué 37e; crampons; first Y only later,data/raw/articles/multicountry/FR_rmc_bfm.txt,,multi_country_panel
F02_FR_VN_Vietnam.vn FR / Zing relay,F02,PATTERN_TAGLIAFICO_1H,760517,ESP-ARG Final,28,Nicolás Tagliafico,Lamine Yamal,FR_VN,Vietnam.vn FR / Zing relay,under_carded,under_carded,28e tacle violent; crampons mollet; aucune sanction; cites BBC Lang,data/raw/articles/multicountry/VN_fr_tagliafico.txt,,multi_country_panel
F02_AR_Clarín/Olé,F02,PATTERN_TAGLIAFICO_1H,760517,ESP-ARG Final,1H,Nicolás Tagliafico,Lamine Yamal,AR,Clarín/Olé,silent,under_carded,No AR outlet archived calling for Tagliafico yellow,,,multi_country_panel
F02_IT_Corriere della Sera,F02,PATTERN_TAGLIAFICO_1H,760517,ESP-ARG Final,1H pattern,Nicolás Tagliafico,Lamine Yamal,IT,Corriere della Sera,under_carded,under_carded,Tagliafico su Yamal merita il giallo,data/raw/articles/multicountry/IT_corriere_final.txt,,multi_country_panel
mbm_760517_49879055_athletic,F01,760517_49879055,760517,ESP-ARG Final,14',Alexis Mac Allister,,UK,athletic,severity_discussion,under_carded,"[athletic] Top referees always want their first yellow to be for an offence that no one can dispute, which sometimes leads to borderline tackles being excused early in the match. But Mac Allister crossed the lin || [bbc_report] Mac Allister was late on Dani Olmo; Spain complained about Vincic's leni",data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
mbm_760517_49879055_bbc,F01,760517_49879055,760517,ESP-ARG Final,14',Alexis Mac Allister,,UK,bbc,severity_discussion,under_carded,"[athletic] Top referees always want their first yellow to be for an offence that no one can dispute, which sometimes leads to borderline tackles being excused early in the match. But Mac Allister crossed the lin || [bbc_report] Mac Allister was late on Dani Olmo; Spain complained about Vincic's leni",data/processed/foul_mbm_alignment_final.csv,,mbm_or_report_align
