foul_id,event_id,match,minute_raw,minute_num,foul_team,is_argentina,foul_player,carded,n_opta_foul_lines_pm1,opta_snip,n_media_lines_pm2,media_sources,media_snip,has_media_narration
760433_49535632,760433,ARG-ALG GS,1',1.0,Argentina,1,Enzo Fernández,0,2,Foul by Enzo Fernández (Argentina). || Anis Hadj Moussa (Algeria) wins a free kick in the defensive half.,18,bbc,"[bbc] 1,000 tomatoes for winning the World Cup?! 00:00:53, play video || [bbc] We gave Alan Shearer a disposable camera for the World Cup. 00:00:43, play video || [bbc] Will Argentina face punishment for World Cup final chaos? 00:00:50, play video",1
760433_49535793,760433,ARG-ALG GS,10',10.0,Argentina,1,Lautaro Martínez,0,4,Aïssa Mandi (Algeria) wins a free kick in the defensive half. || Foul by Lautaro Martínez (Argentina). || Rayan Aït-Nouri (Algeria) wins a free kick on the left wing.,1,bbc,"[bbc] His goal arrived 12 minutes after an earlier effort had been disallowed during a breathless start, w",1
760433_49535801,760433,ARG-ALG GS,11',11.0,Argentina,1,Gonzalo Montiel,0,4,Aïssa Mandi (Algeria) wins a free kick in the defensive half. || Foul by Lautaro Martínez (Argentina). || Rayan Aït-Nouri (Algeria) wins a free kick on the left wing.,1,bbc,"[bbc] His goal arrived 12 minutes after an earlier effort had been disallowed during a breathless start, w",1
760433_49536125,760433,ARG-ALG GS,31',31.0,Argentina,1,Lionel Messi,0,2,Foul by Lionel Messi (Argentina). || Aïssa Mandi (Algeria) wins a free kick in the defensive half.,1,bbc,"[bbc] But on a night when he became the first player to appear in six World Cups, Messi was lucky to escap",1
760433_49536166,760433,ARG-ALG GS,34',34.0,Algeria,0,Amine Gouiri,0,2,Alexis Mac Allister (Argentina) wins a free kick in the defensive half. || Foul by Amine Gouiri (Algeria).,0,,,0
760433_49536190,760433,ARG-ALG GS,36',36.0,Algeria,0,Rafik Belghali,0,5,Foul by Rafik Belghali (Algeria). || Thiago Almada (Argentina) wins a free kick in the attacking half. || Attempt missed. Lionel Messi (Argentina) left footed shot from more than 35 yards misses to the left from a direct free ,0,,,0
760433_49536204,760433,ARG-ALG GS,37',37.0,Argentina,1,Facundo Medina,0,5,Foul by Rafik Belghali (Algeria). || Thiago Almada (Argentina) wins a free kick in the attacking half. || Attempt missed. Lionel Messi (Argentina) left footed shot from more than 35 yards misses to the left from a direct free ,0,,,0
760433_49536289,760433,ARG-ALG GS,43',43.0,Argentina,1,Alexis Mac Allister,0,2,Foul by Alexis Mac Allister (Argentina). || Ibrahim Maza (Algeria) wins a free kick on the left wing.,0,,,0
760433_49536330,760433,ARG-ALG GS,45',45.0,Argentina,1,Lautaro Martínez,0,4,Foul by Lautaro Martínez (Argentina). || Ramy Bensebaini (Algeria) wins a free kick in the defensive half. || Foul by Rafik Belghali (Algeria).,2,bbc,"[bbc] , substituted for N. Molina at 46 minutes || [bbc] , substituted for N. Molina at 46 minutes",1
760433_49536402,760433,ARG-ALG GS,45'+4',45.04,Algeria,0,Rafik Belghali,0,4,Foul by Lautaro Martínez (Argentina). || Ramy Bensebaini (Algeria) wins a free kick in the defensive half. || Foul by Rafik Belghali (Algeria).,2,bbc,"[bbc] , substituted for N. Molina at 46 minutes || [bbc] , substituted for N. Molina at 46 minutes",1
760433_49536473,760433,ARG-ALG GS,48',48.0,Algeria,0,Hicham Boudaoui,0,2,Lionel Messi (Argentina) wins a free kick in the defensive half. || Foul by Hicham Boudaoui (Algeria).,2,bbc,"[bbc] , substituted for N. Molina at 46 minutes || [bbc] , substituted for N. Molina at 46 minutes",1
760433_49536536,760433,ARG-ALG GS,51',51.0,Argentina,1,Cristian Romero,0,2,Foul by Cristian Romero (Argentina). || Ibrahim Maza (Algeria) wins a free kick in the defensive half.,0,,,0
760433_49536592,760433,ARG-ALG GS,55',55.0,Argentina,1,Cristian Romero,0,2,Amine Gouiri (Algeria) wins a free kick on the left wing. || Foul by Cristian Romero (Argentina).,4,bbc,"[bbc] , substituted for N. González at 55 minutes || [bbc] , substituted for J. Alvarez at 55 minutes || [bbc] , substituted for N. González at 55 minutes",1
760433_49536725,760433,ARG-ALG GS,63',63.0,Algeria,0,Hicham Boudaoui,0,4,Foul by Hicham Boudaoui (Algeria). || Enzo Fernández (Argentina) wins a free kick in the attacking half. || Cristian Romero (Argentina) wins a free kick in the attacking half.,6,bbc,"[bbc] , substituted for H. Aouar at 64 minutes || [bbc] , substituted for M. Amoura at 64 minutes || [bbc] , substituted for R. Mahrez at 64 minutes",1
760433_49536737,760433,ARG-ALG GS,64',64.0,Algeria,0,Mohammed Amoura,0,4,Foul by Hicham Boudaoui (Algeria). || Enzo Fernández (Argentina) wins a free kick in the attacking half. || Cristian Romero (Argentina) wins a free kick in the attacking half.,6,bbc,"[bbc] , substituted for H. Aouar at 64 minutes || [bbc] , substituted for M. Amoura at 64 minutes || [bbc] , substituted for R. Mahrez at 64 minutes",1
760433_49536901,760433,ARG-ALG GS,75',75.0,Algeria,0,Farès Chaïbi,0,2,Foul by Farès Chaïbi (Algeria). || Rodrigo De Paul (Argentina) wins a free kick in the defensive half.,2,bbc,"[bbc] Goal 17 minutes, Goal 60 minutes, Goal 76 minutes || [bbc] R. De Paul (17'), N. González (76')",1
760433_49536985,760433,ARG-ALG GS,83',83.0,Argentina,1,Facundo Medina,0,4,Foul by Facundo Medina (Argentina). || Riyad Mahrez (Algeria) wins a free kick on the right wing. || Foul by Julián Alvarez (Argentina).,4,bbc,"[bbc] , substituted for A. Boulbina at 81 minutes || [bbc] , substituted for R. Zerrouki at 82 minutes || [bbc] , substituted for A. Boulbina at 81 minutes",1
760433_49536994,760433,ARG-ALG GS,83',83.0,Argentina,1,Julián Alvarez,0,4,Foul by Facundo Medina (Argentina). || Riyad Mahrez (Algeria) wins a free kick on the right wing. || Foul by Julián Alvarez (Argentina).,4,bbc,"[bbc] , substituted for A. Boulbina at 81 minutes || [bbc] , substituted for R. Zerrouki at 82 minutes || [bbc] , substituted for A. Boulbina at 81 minutes",1
760433_49537027,760433,ARG-ALG GS,85',85.0,Argentina,1,Alexis Mac Allister,0,2,Houssem Aouar (Algeria) wins a free kick in the attacking half. || Foul by Alexis Mac Allister (Argentina).,0,,,0
760433_49537245,760433,ARG-ALG GS,90'+5',90.05,Argentina,1,Nico Paz,0,2,Ramy Bensebaini (Algeria) wins a free kick in the attacking half. || Foul by Nico Paz (Argentina).,0,,,0
760456_49582963,760456,ARG-AUT GS,4',4.0,Austria,0,,0,2,Penalty conceded by Stefan Posch (Austria) after a foul in the penalty area. || Penalty Argentina. Lautaro Martínez draws a foul in the penalty area.,2,bbc,"[bbc] Argentina, with six points, now join Mexico, the United States and Germany in having qualified for t || [bbc] Argentina end their group phase with a game against Jordan, while Austria take on Algeria with both ",1
760456_49583013,760456,ARG-AUT GS,10',10.0,Austria,0,Romano Schmid,0,4,Foul by Romano Schmid (Austria). || Facundo Medina (Argentina) wins a free kick in the defensive half. || Michael Gregoritsch (Austria) wins a free kick in the attacking half.,0,,,0
760456_49583016,760456,ARG-AUT GS,11',11.0,Argentina,1,Lisandro Martínez,0,4,Foul by Romano Schmid (Austria). || Facundo Medina (Argentina) wins a free kick in the defensive half. || Michael Gregoritsch (Austria) wins a free kick in the attacking half.,0,,,0
760456_49583051,760456,ARG-AUT GS,14',14.0,Argentina,1,Alexis Mac Allister,0,2,Foul by Alexis Mac Allister (Argentina). || Paul Wanner (Austria) wins a free kick on the left wing.,0,,,0
760456_49583113,760456,ARG-AUT GS,18',18.0,Austria,0,Paul Wanner,0,2,Foul by Paul Wanner (Austria). || Alexis Mac Allister (Argentina) wins a free kick in the defensive half.,19,bbc,[bbc] published at 20:57 BST 22 June || [bbc] published at 20:54 BST 22 June || [bbc] published at 20:50 BST 22 June,1
760456_49583185,760456,ARG-AUT GS,21',21.0,Argentina,1,Lautaro Martínez,0,2,Konrad Laimer (Austria) wins a free kick in the defensive half. || Foul by Lautaro Martínez (Argentina).,20,bbc,[bbc] published at 21:00 BST 22 June || [bbc] published at 20:57 BST 22 June || [bbc] published at 20:54 BST 22 June,1
760456_49583319,760456,ARG-AUT GS,32',32.0,Argentina,1,Facundo Medina,0,2,Romano Schmid (Austria) wins a free kick in the defensive half. || Foul by Facundo Medina (Argentina).,0,,,0
760456_49583392,760456,ARG-AUT GS,35',35.0,Argentina,1,Nahuel Molina,0,2,Marcel Sabitzer (Austria) wins a free kick in the attacking half. || Foul by Nahuel Molina (Argentina).,0,,,0
760456_49583480,760456,ARG-AUT GS,43',43.0,Austria,0,Kevin Danso,0,4,Foul by Kevin Danso (Austria). || Lionel Messi (Argentina) wins a free kick in the defensive half. || Romano Schmid (Austria) wins a free kick in the attacking half.,0,,,0
760456_49583488,760456,ARG-AUT GS,44',44.0,Argentina,1,Alexis Mac Allister,0,6,Foul by Kevin Danso (Austria). || Lionel Messi (Argentina) wins a free kick in the defensive half. || Romano Schmid (Austria) wins a free kick in the attacking half.,0,,,0
760456_49583505,760456,ARG-AUT GS,45',45.0,Argentina,1,Enzo Fernández,0,6,Romano Schmid (Austria) wins a free kick in the attacking half. || Foul by Alexis Mac Allister (Argentina). || Romano Schmid (Austria) wins a free kick in the attacking half.,0,,,0
760456_49583538,760456,ARG-AUT GS,45'+2',45.02,Argentina,1,Lautaro Martínez,0,4,Romano Schmid (Austria) wins a free kick in the attacking half. || Foul by Enzo Fernández (Argentina). || Konrad Laimer (Austria) wins a free kick on the left wing.,0,,,0
