narration_id,source_type,source,country_family,event_id,match,date,seq,minute_raw,minute_num,text,flag_foul,flag_card,flag_goal,flag_var,flag_penalty,flag_sub,flag_severity
bbc_760509_0,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,0,,,World Cup 2026 results: Argentina 3-2 Egypt as Lionel Messi scores after having penalty saved - BBC Sport,0,0,1,0,1,0,0
bbc_760509_1,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,1,,,Argentina complete extraordinary comeback to beat Egypt,0,0,0,0,0,0,0
bbc_760509_2,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,2,,,"Argentina 3 , Egypt 2 at Full time",0,0,0,0,0,0,0
bbc_760509_3,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,3,,,"Half Time Argentina 0 , Egypt 1",0,0,0,0,0,0,0
bbc_760509_4,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,4,79.0,79.0,"L. Messi (79'), G. Montiel (83'), Lautaro Martínez (90'+2)",0,0,0,0,0,0,0
bbc_760509_5,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,5,83.0,83.0,"L. Messi (79'), G. Montiel (83'), Lautaro Martínez (90'+2)",0,0,0,0,0,0,0
bbc_760509_6,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,6,90.0,90.0,"L. Messi (79'), G. Montiel (83'), Lautaro Martínez (90'+2)",0,0,0,0,0,0,0
bbc_760509_7,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,7,15.0,15.0,"Marwan Attia (15'), Haissem Hassan (67')",0,0,0,0,0,0,0
bbc_760509_8,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,8,67.0,67.0,"Marwan Attia (15'), Haissem Hassan (67')",0,0,0,0,0,0,0
bbc_760509_9,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,9,,,Argentina come from 2-0 down to win - Fernandez,0,0,0,0,0,0,0
bbc_760509_10,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,10,,,Winner faces quarter-final against Switzerland or Colombia -,0,0,0,0,0,0,0
bbc_760509_11,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,11,0.0,0.0,"1,000 tomatoes for winning the World Cup?! 00:00:53, play video",0,0,0,0,0,0,0
bbc_760509_12,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,12,0.0,0.0,"We gave Alan Shearer a disposable camera for the World Cup. 00:00:43, play video",0,0,0,0,0,0,0
bbc_760509_13,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,13,0.0,0.0,"Will Argentina face punishment for World Cup final chaos? 00:00:50, play video",0,0,0,0,0,0,0
bbc_760509_14,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,14,,,Will Argentina face punishment for World Cup final chaos?,0,0,0,0,0,0,0
bbc_760509_15,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,15,0.0,0.0,"Only just over 1,400 days until the next World Cup! 00:01:12, play video",0,0,0,0,0,0,0
bbc_760509_16,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,16,0.0,0.0,"Spain continue their World Cup celebrations! 00:00:44, play video",0,0,0,0,0,0,0
bbc_760509_17,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,17,,,Spain continue their World Cup celebrations!,0,0,0,0,0,0,0
bbc_760509_18,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,18,0.0,0.0,"The Spain team brings the World Cup home. 00:00:39, play video",0,0,0,0,0,0,0
bbc_760509_19,media_mbm,bbc,UK,760509,ARG-EGY R16,2026-07-07,19,,,The Spain team brings the World Cup home,0,0,0,0,0,0,0
