narration_id,source_type,source,country_family,event_id,match,date,seq,minute_raw,minute_num,text,flag_foul,flag_card,flag_goal,flag_var,flag_penalty,flag_sub,flag_severity
opta_760433_0,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,0,,,| Lineups are announced and players are warming up.,0,0,0,0,0,0,0
opta_760433_1,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,1,,,| First Half begins.,0,0,0,0,0,0,0
opta_760433_2,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,2,1',1.0,Foul by Enzo Fernández (Argentina).,1,0,0,0,0,0,0
opta_760433_3,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,3,1',1.0,Anis Hadj Moussa (Algeria) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_4,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,4,4',4.0,"Offside, Argentina. Lautaro Martínez is caught offside.",0,0,0,0,0,0,0
opta_760433_5,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,5,5',5.0,"Offside, Argentina. Lionel Messi is caught offside.",0,0,0,0,0,0,0
opta_760433_6,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,6,8',8.0,"Offside, Algeria. Farès Chaïbi is caught offside.",0,0,0,0,0,0,0
opta_760433_7,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,7,8',8.0,GOAL OVERTURNED BY VAR: Farès Chaïbi (Algeria) scores but the goal is ruled out after a VAR review.,0,0,1,1,0,0,0
opta_760433_8,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,8,9',9.0,VAR Decision: No Goal Argentina 0-0 Algeria.,0,0,1,1,0,0,0
opta_760433_9,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,9,10',10.0,Aïssa Mandi (Algeria) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_10,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,10,10',10.0,Foul by Lautaro Martínez (Argentina).,1,0,0,0,0,0,0
opta_760433_11,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,11,11',11.0,Rayan Aït-Nouri (Algeria) wins a free kick on the left wing.,1,0,0,0,0,0,0
opta_760433_12,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,12,11',11.0,Foul by Gonzalo Montiel (Argentina).,1,0,0,0,0,0,0
