event_id,match,team,abbr,fouls,yc,rc,poss,tackles
760433,ARG-ALG GS,Argentina,ARG,13.0,0.0,0.0,47.8,27.0
760433,ARG-ALG GS,Algeria,ALG,8.0,0.0,0.0,52.2,17.0
760456,ARG-AUT GS,Argentina,ARG,13.0,2.0,0.0,53.6,21.0
760456,ARG-AUT GS,Austria,AUT,13.0,2.0,0.0,46.4,12.0
760483,JOR-ARG GS,Jordan,JOR,13.0,3.0,0.0,26.7,16.0
760483,JOR-ARG GS,Argentina,ARG,7.0,0.0,0.0,73.3,14.0
760500,ARG-CPV R32,Argentina,ARG,13.0,1.0,0.0,63.6,22.0
760500,ARG-CPV R32,Cape Verde,CPV,12.0,1.0,0.0,36.4,19.0
760509,ARG-EGY R16,Argentina,ARG,13.0,0.0,0.0,63.6,20.0
760509,ARG-EGY R16,Egypt,EGY,11.0,4.0,0.0,36.4,16.0
760513,ARG-SUI QF,Argentina,ARG,14.0,3.0,0.0,59.0,17.0
760513,ARG-SUI QF,Switzerland,SUI,18.0,1.0,1.0,41.0,11.0
760515,ENG-ARG SF,England,ENG,11.0,1.0,0.0,35.8,15.0
760515,ENG-ARG SF,Argentina,ARG,15.0,3.0,0.0,64.2,20.0
760517,ESP-ARG Final,Spain,ESP,21.0,0.0,0.0,65.1,17.0
760517,ESP-ARG Final,Argentina,ARG,25.0,4.0,1.0,34.9,18.0
