incident_id,source,hit,claim_class,description
F01,bbc,1,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,guardian,1,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,athletic,1,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,mirror_exref_scott,1,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,liverpool_com_neville,1,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,marca,1,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,as,1,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,ole,0,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,clarin,0,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F01,tyc,,under_carded,Late/reckless challenge on Olmo; FK yes yellow no
F02,bbc,0,under_carded,Studs/bring-downs without early booking
F02,guardian,0,under_carded,Studs/bring-downs without early booking
F02,athletic,1,under_carded,Studs/bring-downs without early booking
F02,mirror_exref_scott,1,under_carded,Studs/bring-downs without early booking
F02,liverpool_com_neville,0,under_carded,Studs/bring-downs without early booking
F02,marca,1,under_carded,Studs/bring-downs without early booking
F02,as,0,under_carded,Studs/bring-downs without early booking
F02,ole,0,under_carded,Studs/bring-downs without early booking
F02,clarin,0,under_carded,Studs/bring-downs without early booking
F02,tyc,,under_carded,Studs/bring-downs without early booking
F03,bbc,1,spoiling_style,Paredes provocateur shoves barracking
F03,guardian,1,spoiling_style,Paredes provocateur shoves barracking
F03,athletic,1,spoiling_style,Paredes provocateur shoves barracking
F03,mirror_exref_scott,1,spoiling_style,Paredes provocateur shoves barracking
F03,liverpool_com_neville,0,spoiling_style,Paredes provocateur shoves barracking
F03,marca,1,spoiling_style,Paredes provocateur shoves barracking
F03,as,0,spoiling_style,Paredes provocateur shoves barracking
F03,ole,1,spoiling_style,Paredes provocateur shoves barracking
F03,clarin,1,spoiling_style,Paredes provocateur shoves barracking
F03,tyc,,spoiling_style,Paredes provocateur shoves barracking
F04,bbc,0,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,guardian,0,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,athletic,1,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,mirror_exref_scott,0,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,liverpool_com_neville,0,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,marca,0,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,as,0,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,ole,0,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,clarin,0,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F04,tyc,,under_carded,First Y dissent; Athletic says lucky; Clarín says first Y exaggerated
F05,bbc,1,spoiling_style,Team spoiling + early ref leniency narrative
F05,guardian,1,spoiling_style,Team spoiling + early ref leniency narrative
F05,athletic,1,spoiling_style,Team spoiling + early ref leniency narrative
F05,mirror_exref_scott,1,spoiling_style,Team spoiling + early ref leniency narrative
F05,liverpool_com_neville,0,spoiling_style,Team spoiling + early ref leniency narrative
F05,marca,1,spoiling_style,Team spoiling + early ref leniency narrative
F05,as,1,spoiling_style,Team spoiling + early ref leniency narrative
F05,ole,0,spoiling_style,Team spoiling + early ref leniency narrative
F05,clarin,1,spoiling_style,Team spoiling + early ref leniency narrative
F05,tyc,,spoiling_style,Team spoiling + early ref leniency narrative
F06,bbc,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,guardian,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,athletic,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,mirror_exref_scott,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,liverpool_com_neville,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,marca,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,as,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,ole,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,clarin,0,under_carded,CONTROL Spain 21 fouls 0 cards
F06,tyc,,under_carded,CONTROL Spain 21 fouls 0 cards
F07,bbc,0,off_ball,Post-whistle clash; red; FIFA case
F07,guardian,1,off_ball,Post-whistle clash; red; FIFA case
F07,athletic,1,off_ball,Post-whistle clash; red; FIFA case
F07,mirror_exref_scott,1,off_ball,Post-whistle clash; red; FIFA case
F07,liverpool_com_neville,0,off_ball,Post-whistle clash; red; FIFA case
F07,marca,1,off_ball,Post-whistle clash; red; FIFA case
F07,as,1,off_ball,Post-whistle clash; red; FIFA case
F07,ole,1,off_ball,Post-whistle clash; red; FIFA case
F07,clarin,1,off_ball,Post-whistle clash; red; FIFA case
F07,tyc,,off_ball,Post-whistle clash; red; FIFA case
