foul_id,event_id,match,date,play_id,minute_raw,minute_num,period,foul_team,is_argentina,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,carded,card_link_type,card_type,card_minute,card_player,l2_matched,l2_incident_ids,l2_claim_class,l2_n_sources,l2_consensus,l2_note,arg_uncarded_candidate
760433_49535632,760433,ARG-ALG GS,2026-06-17,49535632,1',1.0,1,Argentina,1,Enzo Fernández,,,,58.6,74.5,Foul by Enzo Fernández (Argentina).,0,,,,,0,,,,,,1
760433_49535793,760433,ARG-ALG GS,2026-06-17,49535793,10',10.0,1,Argentina,1,Lautaro Martínez,Aïssa Mandi,Algeria,defensive half,26.1,30.8,Aïssa Mandi (Algeria) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760433_49535801,760433,ARG-ALG GS,2026-06-17,49535801,11',11.0,1,Argentina,1,Gonzalo Montiel,Rayan Aït-Nouri,Algeria,left wing,26.6,8.9,Rayan Aït-Nouri (Algeria) wins a free kick on the left wing.,0,,,,,0,,,,,,1
760433_49536125,760433,ARG-ALG GS,2026-06-17,49536125,31',31.0,1,Argentina,1,Lionel Messi,,,,68.8,76.8,Foul by Lionel Messi (Argentina).,0,,,,,0,,,,,,1
760433_49536166,760433,ARG-ALG GS,2026-06-17,49536166,34',34.0,1,Algeria,0,Amine Gouiri,Alexis Mac Allister,Argentina,defensive half,56.2,25.9,Alexis Mac Allister (Argentina) wins a free kick in the defensive half.,0,,,,,0,,,,,,0
760433_49536190,760433,ARG-ALG GS,2026-06-17,49536190,36',36.0,1,Algeria,0,Rafik Belghali,,,,37.0,26.6,Foul by Rafik Belghali (Algeria).,0,,,,,0,,,,,,0
760433_49536204,760433,ARG-ALG GS,2026-06-17,49536204,37',37.0,1,Argentina,1,Facundo Medina,Aïssa Mandi,Algeria,defensive half,23.9,65.2,Aïssa Mandi (Algeria) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760433_49536289,760433,ARG-ALG GS,2026-06-17,49536289,43',43.0,1,Argentina,1,Alexis Mac Allister,,,,38.7,11.5,Foul by Alexis Mac Allister (Argentina).,0,,,,,0,,,,,,1
760433_49536330,760433,ARG-ALG GS,2026-06-17,49536330,45',45.0,1,Argentina,1,Lautaro Martínez,,,,63.2,51.4,Foul by Lautaro Martínez (Argentina).,0,,,,,0,,,,,,1
760433_49536402,760433,ARG-ALG GS,2026-06-17,49536402,45'+4',45.04,1,Algeria,0,Rafik Belghali,,,,38.4,9.4,Foul by Rafik Belghali (Algeria).,0,,,,,0,,,,,,0
