foul_id_note,incident_id,minute,player,victim,claim,country_family,outlet,stance,quote_or_paraphrase,archived_file,url
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,UK,BBC McNulty,under_carded,late on Olmo; Spain complained about leniency,data/raw/articles/quotes_final.md,https://www.bbc.com/sport/football/live/cgk4ymn3n72t
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,UK,The Sun / Micah Richards,under_carded,should have been a yellow; sets dangerous precedent,data/raw/articles/multicountry/UK_sun_richards.txt,https://www.thesun.co.uk/sport/39808297/micah-richards-alexis-mac-allister-olmo-world-cup/
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,UK,Liverpool.com / Graham Scott,under_carded,clear yellow card for reckless play,data/raw/articles/multicountry/UK_liverpoolcom.txt,https://www.liverpool.com/liverpool-fc-news/mac-allister-argentina-world-cup-34317281
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,UK,Daily Mail Hope,under_carded,lucky to escape yellow for lunge on Olmo,data/raw/articles/quotes_multicountry_F01.md,https://www.dailymail.com/sport/football/article-15988511/Spain-1-Argentina-0-PLAYER-RATINGS.html
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,UK_US,ESPN Judd ratings,under_carded,lucky without yellow after late challenge on Olmo,data/raw/articles/quotes_multicountry_F01.md,https://www.espn.co.uk/football/story/_/id/49403553/player-ratings-lionel-messi-3-10-spain-beat-argentina-world-cup-final
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,ES,AS,under_carded,Mereció la amarilla; ref looked away,data/raw/articles/quotes_final.md,https://as.com/futbol/seleccion/como-la-primera-vez-f202607-n/
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,ES,Marca,under_carded,prefirió no amonestar,data/raw/articles/quotes_final.md,https://www.marca.com/futbol/mundial/cronica/2026/07/20/reyes-todos-tiempos.html
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,FR,RMC Sport BFMTV,under_carded_named,fauché Olmo (15e); hardening narrative,data/raw/articles/multicountry/FR_rmc_bfm.txt,https://rmcsport.bfmtv.com/football/coupe-du-monde/espagne-argentine-olmo-fauche-par-mac-allister-yamal-chahute-par-tagliafico-comment-l-albiceleste-a-durci-le-jeu-des-le-debut-de-la-finale_AV-202607190380.html
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,DE,Die Welt,under_carded,14. Minute gestrecktes Bein; keine Gelbe Karte,data/raw/articles/multicountry/DE_welt.txt,https://www.welt.de/sport/fussball/wm/video6a5d5111e0a821422950ff9d/wm-finale-argentiniens-mac-allister-raeumt-spaniens-olmo-boese-ab-aber-kassiert-keine-gelbe-karte-highlights.html
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,IN,Times Now,under_carded,15th minute lunging tackle; no yellow verbal warning,data/raw/articles/multicountry/IN_timesnow.txt,https://www.timesnownews.com/sports/football/no-yellow-for-alexis-mac-allister-fifa-world-cup-2026-final-refereeing-sparks-fresh-argentina-bias-debate-article-155134994
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,AR,Clarín,silent_or_oppose,Does not call for yellow on this tackle; other ref critiques,data/raw/articles/clarin_vincic.txt,https://www.clarin.com/deportes/slatko-vincic-arbitro-final-mundial-espana-gano-argentina-errores-graves-partido-quedo-demasiado-grande_0_TKPKauUGZF.html
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,AR,Olé,oppose,Petition / reverse bias narrative vs Vincic,data/raw/articles/ole_replay.txt,https://www.ole.com.ar/mundial/mundial-2026/miles-argentinos-firman-campana-pedir-repita-final-argentina-mundial-espana_0_HHh10GEvw3.html
760517_MacAllister_14,F01,14-15,Alexis Mac Allister,Dani Olmo,under_carded,IT,Corriere della Sera,under_carded,Mac Allister su Olmo merita il giallo ma Vincic lascia fare,data/raw/articles/multicountry/IT_corriere_final.txt,https://www.corriere.it/sport/calcio/mondiali/diretta-live/26_luglio_19/mondiali-2026-finale-diretta.shtml
