event_id,match,date,team,is_argentina,opta_fouls,opta_yc,opta_rc,opta_cards,fouls_per_card,first_card_minute,box_fouls,box_yc,box_rc,poss,tackles
760433,ARG-ALG GS,2026-06-17,Algeria,0,7,0,0,0,,,8.0,0.0,0.0,52.2,17.0
760433,ARG-ALG GS,2026-06-17,Argentina,1,13,0,0,0,,,13.0,0.0,0.0,47.8,27.0
760456,ARG-AUT GS,2026-06-22,Argentina,1,12,2,0,2,6.0,76.0,13.0,2.0,0.0,53.6,21.0
760456,ARG-AUT GS,2026-06-22,Austria,0,13,2,0,2,6.5,40.0,13.0,2.0,0.0,46.4,12.0
760483,JOR-ARG GS,2026-06-28,Argentina,1,7,0,0,0,,,7.0,0.0,0.0,73.3,14.0
760483,JOR-ARG GS,2026-06-28,Jordan,0,13,3,0,3,4.33,17.0,13.0,3.0,0.0,26.7,16.0
760500,ARG-CPV R32,2026-07-03,Argentina,1,12,1,0,1,12.0,115.0,13.0,1.0,0.0,63.6,22.0
760500,ARG-CPV R32,2026-07-03,Cape Verde,0,13,0,0,0,,,12.0,1.0,0.0,36.4,19.0
760509,ARG-EGY R16,2026-07-07,Argentina,1,13,0,0,0,,,13.0,0.0,0.0,63.6,20.0
760509,ARG-EGY R16,2026-07-07,Egypt,0,11,4,0,4,2.75,90.03,11.0,4.0,0.0,36.4,16.0
760513,ARG-SUI QF,2026-07-12,Argentina,1,14,3,0,3,4.67,97.0,14.0,3.0,0.0,59.0,17.0
760513,ARG-SUI QF,2026-07-12,Switzerland,0,16,1,1,2,8.0,44.0,18.0,1.0,1.0,41.0,11.0
760515,ENG-ARG SF,2026-07-15,Argentina,1,15,3,0,3,5.0,42.0,15.0,3.0,0.0,64.2,20.0
760515,ENG-ARG SF,2026-07-15,England,0,12,1,0,1,12.0,37.0,11.0,1.0,0.0,35.8,15.0
760517,ESP-ARG Final,2026-07-19,Argentina,1,25,5,1,6,4.17,41.0,25.0,4.0,1.0,34.9,18.0
760517,ESP-ARG Final,2026-07-19,Spain,0,21,0,0,0,,,21.0,0.0,0.0,65.1,17.0
