event_id,match,date,play_id,minute_raw,period,foul_team,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,play_text
760433,ARG-ALG GS,2026-06-17,49535632,1',1,Argentina,Enzo Fernández,,,,58.6,74.5,Foul by Enzo Fernández (Argentina).,Anis Hadj Moussa (Algeria) wins a free kick in the defensive half.
760433,ARG-ALG GS,2026-06-17,49535793,10',1,Argentina,Lautaro Martínez,Aïssa Mandi,Algeria,defensive half,26.1,30.8,Aïssa Mandi (Algeria) wins a free kick in the defensive half.,Foul by Lautaro Martínez (Argentina).
760433,ARG-ALG GS,2026-06-17,49535801,11',1,Argentina,Gonzalo Montiel,Rayan Aït-Nouri,Algeria,left wing,26.6,8.9,Rayan Aït-Nouri (Algeria) wins a free kick on the left wing.,Foul by Gonzalo Montiel (Argentina).
760433,ARG-ALG GS,2026-06-17,49536125,31',1,Argentina,Lionel Messi,,,,68.8,76.8,Foul by Lionel Messi (Argentina).,Aïssa Mandi (Algeria) wins a free kick in the defensive half.
760433,ARG-ALG GS,2026-06-17,49536166,34',1,Algeria,Amine Gouiri,Alexis Mac Allister,Argentina,defensive half,56.2,25.9,Alexis Mac Allister (Argentina) wins a free kick in the defensive half.,Foul by Amine Gouiri (Algeria).
760433,ARG-ALG GS,2026-06-17,49536190,36',1,Algeria,Rafik Belghali,,,,37.0,26.6,Foul by Rafik Belghali (Algeria).,Thiago Almada (Argentina) wins a free kick in the attacking half.
760433,ARG-ALG GS,2026-06-17,49536204,37',1,Argentina,Facundo Medina,Aïssa Mandi,Algeria,defensive half,23.9,65.2,Aïssa Mandi (Algeria) wins a free kick in the defensive half.,Foul by Facundo Medina (Argentina).
760433,ARG-ALG GS,2026-06-17,49536289,43',1,Argentina,Alexis Mac Allister,,,,38.7,11.5,Foul by Alexis Mac Allister (Argentina).,Ibrahim Maza (Algeria) wins a free kick on the left wing.
760433,ARG-ALG GS,2026-06-17,49536330,45',1,Argentina,Lautaro Martínez,,,,63.2,51.4,Foul by Lautaro Martínez (Argentina).,Ramy Bensebaini (Algeria) wins a free kick in the defensive half.
760433,ARG-ALG GS,2026-06-17,49536402,45'+4',1,Algeria,Rafik Belghali,,,,38.4,9.4,Foul by Rafik Belghali (Algeria).,Facundo Medina (Argentina) wins a free kick on the left wing.
760433,ARG-ALG GS,2026-06-17,49536473,48',2,Algeria,Hicham Boudaoui,Lionel Messi,Argentina,defensive half,33.8,38.3,Lionel Messi (Argentina) wins a free kick in the defensive half.,Foul by Hicham Boudaoui (Algeria).
760433,ARG-ALG GS,2026-06-17,49536536,51',2,Argentina,Cristian Romero,,,,68.0,21.0,Foul by Cristian Romero (Argentina).,Ibrahim Maza (Algeria) wins a free kick in the defensive half.
760433,ARG-ALG GS,2026-06-17,49536592,55',2,Argentina,Cristian Romero,Amine Gouiri,Algeria,left wing,44.8,4.6,Amine Gouiri (Algeria) wins a free kick on the left wing.,Foul by Cristian Romero (Argentina).
760433,ARG-ALG GS,2026-06-17,49536725,63',2,Algeria,Hicham Boudaoui,,,,42.8,22.6,Foul by Hicham Boudaoui (Algeria).,Enzo Fernández (Argentina) wins a free kick in the attacking half.
760433,ARG-ALG GS,2026-06-17,49536737,64',2,Algeria,Mohammed Amoura,Cristian Romero,Argentina,attacking half,45.0,60.4,Cristian Romero (Argentina) wins a free kick in the attacking half.,Foul by Mohammed Amoura (Algeria).
760433,ARG-ALG GS,2026-06-17,49536901,75',2,Algeria,Farès Chaïbi,,,,73.2,93.8,Foul by Farès Chaïbi (Algeria).,Rodrigo De Paul (Argentina) wins a free kick in the defensive half.
