        | Lineups are announced and players are warming up.
        | First Half begins.
     4' | Sidny Cabral (Cabo Verde) wins a free kick on the left wing.
     4' | Foul by Rodrigo De Paul (Argentina).
     7' | Attempt blocked. Ryan Mendes (Cabo Verde) left footed shot from the right side of the box is blocked. Assisted by Diney Borges.
    10' | Jovane Cabral (Cabo Verde) wins a free kick in the attacking half.
    10' | Foul by Cristian Romero (Argentina).
    15' | Attempt missed. Lionel Messi (Argentina) left footed shot from the left side of the box misses to the right. Assisted by Thiago Almada.
    17' | Foul by Jovane Cabral (Cabo Verde).
    17' | Lionel Messi (Argentina) wins a free kick in the attacking half.
    18' | Attempt saved. Lionel Messi (Argentina) left footed shot from outside the box is saved in the bottom left corner by Vozinha (Cabo Verde).
    25' | Delay in match for a drinks break.
    27' | Delay over. They are ready to continue.
    29' | Goal! Argentina 1, Cabo Verde 0. Lionel Messi (Argentina) left footed shot from the right side of the six yard box to the top right corner. Assisted by Lisandro Martínez with a through ball.
    32' | Jovane Cabral (Cabo Verde) wins a free kick in the defensive half.
    32' | Foul by Nahuel Molina (Argentina).
    36' | Offside, Argentina. Nahuel Molina is caught offside.
    40' | Foul by Deroy Duarte (Cabo Verde).
    40' | Thiago Almada (Argentina) wins a free kick in the defensive half.
    41' | Offside, Argentina. Facundo Medina is caught offside.
    42' | Foul by Deroy Duarte (Cabo Verde).
    42' | Enzo Fernández (Argentina) wins a free kick in the defensive half.
    43' | Foul by Diney Borges (Cabo Verde).
    43' | Lionel Messi (Argentina) wins a free kick in the defensive half.
    43' | Vozinha (Cabo Verde) wins a free kick in the defensive half.
    43' | Foul by Lautaro Martínez (Argentina).
    45' | Attempt saved. Enzo Fernández (Argentina) right footed shot from outside the box is saved in the bottom right corner by Vozinha (Cabo Verde).
    45' | Fourth official has announced 4 minutes of added time.
 45'+2' | Sidny Cabral (Cabo Verde) wins a free kick in the defensive half.
 45'+2' | Foul by Lionel Messi (Argentina).
 45'+4' | First Half ends, Argentina 1, Cabo Verde 0.
    45' | Second Half begins Argentina 1, Cabo Verde 0.
    48' | Corner, Cabo Verde. Conceded by Nahuel Molina.
    49' | Attempt blocked. Jovane Cabral (Cabo Verde) right footed shot from outside the box is blocked.
    49' | Corner, Cabo Verde. Conceded by Rodrigo De Paul.
    49' | Attempt missed. Ryan Mendes (Cabo Verde) right footed shot from outside the box is high and wide to the left. Assisted by Laros Duarte with a headed pass.
    50' | Pico Lopes (Cabo Verde) wins a free kick in the defensive half.
    50' | Foul by Lautaro Martínez (Argentina).
    53' | Steven Moreira (Cabo Verde) wins a free kick in the defensive half.
    53' | Foul by Thiago Almada (Argentina).
    54' | Attempt saved. Deroy Duarte (Cabo Verde) left footed shot from outside the box is saved in the bottom right corner by Emiliano Martínez (Argentina).
    58' | Laros Duarte (Cabo Verde) wins a free kick in the defensive half.
    58' | Foul by Cristian Romero (Argentina).
    59' | Goal! Argentina 1, Cabo Verde 1. Deroy Duarte (Cabo Verde) right footed shot from a difficult angle on the right to the bottom left corner. Assisted by Ryan Mendes.
    63' | Attempt saved. Lionel Messi (Argentina) right footed shot from the centre of the box is saved in the centre of the goal by Vozinha (Cabo Verde). Assisted by Lautaro Martínez with a through ball.
    63' | Corner, Argentina. Conceded by Diney Borges.
    63' | Substitution, Argentina. Julián Alvarez replaces Lautaro Martínez.
    64' | Substitution, Argentina. Nico González replaces Thiago Almada.
    67' | Attempt missed. Enzo Fernández (Argentina) right footed shot from the left side of the box misses to the right. Assisted by Nico González.
    67' | Substitution, Cabo Verde. Jamiro Monteiro replaces Laros Duarte.
    67' | Substitution, Cabo Verde. Dailon Livramento replaces Nuno da Costa.
    68' | Foul by Kevin Pina (Cabo Verde).
    68' | Lionel Messi (Argentina) wins a free kick in the attacking half.
    68' | Kevin Pina (Cabo Verde) is shown the yellow card for a bad foul.
    69' | Attempt blocked. Lionel Messi (Argentina) left footed shot from outside the box is blocked.
    71' | Foul by Deroy Duarte (Cabo Verde).
    71' | Lionel Messi (Argentina) wins a free kick in the attacking half.
    73' | Attempt saved. Lionel Messi (Argentina) left footed shot from outside the box is saved in the top centre of the goal by Vozinha (Cabo Verde).
    73' | Corner, Argentina. Conceded by Vozinha.
    73' | Attempt missed. Nico González (Argentina) header from the centre of the box misses to the left. Assisted by Rodrigo De Paul with a cross following a corner.
    73' | Delay in match for a drinks break.
    76' | Delay over. They are ready to continue.
    77' | Jamiro Monteiro (Cabo Verde) wins a free kick in the attacking half.
    77' | Foul by Alexis Mac Allister (Argentina).
    78' | Attempt missed. Kevin Pina (Cabo Verde) right footed shot from outside the box misses to the left from a direct free kick.
    78' | Foul by Dailon Livramento (Cabo Verde).
    78' | Cristian Romero (Argentina) wins a free kick in the defensive half.
    79' | Foul by Kevin Pina (Cabo Verde).
    79' | Enzo Fernández (Argentina) wins a free kick in the defensive half.
    80' | Substitution, Cabo Verde. Willy Semedo replaces Ryan Mendes.
    80' | Substitution, Cabo Verde. Hélio Varela replaces Jovane Cabral.
    81' | Corner, Argentina. Conceded by Pico Lopes.
    84' | Corner, Argentina. Conceded by Kevin Pina.
    84' | Substitution, Argentina. Leandro Paredes replaces Rodrigo De Paul.
    84' | Attempt missed. Nico González (Argentina) header from the centre of the box misses to the right. Assisted by Lionel Messi with a cross following a corner.
    84' | Handball by Enzo Fernández (Argentina).
    86' | Substitution, Argentina. Nicolás Tagliafico replaces Facundo Medina because of an injury.
    86' | Offside, Cabo Verde. Hélio Varela is caught offside.
    87' | Attempt blocked. Alexis Mac Allister (Argentina) right footed shot from the right side of the box is blocked.
    87' | Corner, Argentina. Conceded by Deroy Duarte.
    89' | Attempt blocked. Alexis Mac Allister (Argentina) header from the centre of the box is blocked. Assisted by Lionel Messi with a cross.
    90' | Fourth official has announced 8 minutes of added time.
 90'+2' | Attempt saved. Leandro Paredes (Argentina) right footed shot from outside the box is saved in the top centre of the goal by Vozinha (Cabo Verde). Assisted by Alexis Mac Allister.
 90'+4' | Foul by Jamiro Monteiro (Cabo Verde).
 90'+4' | Lionel Messi (Argentina) wins a free kick in the attacking half.
 90'+5' | Attempt saved. Lionel Messi (Argentina) left footed shot from outside the box is saved in the centre of the goal by Vozinha (Cabo Verde).
 90'+5' | Attempt saved. Enzo Fernández (Argentina) header from the centre of the box is saved in the centre of the goal by Vozinha (Cabo Verde).
 90'+5' | Vozinha (Cabo Verde) wins a free kick in the defensive half.
 90'+5' | Foul by Julián Alvarez (Argentina).
 90'+6' | Steven Moreira (Cabo Verde) wins a free kick in the attacking half.
 90'+6' | Foul by Nico González (Argentina).
 90'+8' | Foul by Willy Semedo (Cabo Verde).
